Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B24F0005,001,24FP0001,99680,493440,643,,690,-490,-590,1956/01/17,2015/09/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B24F0005,001,1970/06/29 00:00:00,348,
B24F0005,001,1970/07/14 00:00:00,353,
B24F0005,001,1970/07/28 00:00:00,360,
B24F0005,001,1970/08/14 00:00:00,363,
B24F0005,001,1970/08/28 00:00:00,366,
B24F0005,001,1970/09/14 00:00:00,371,
B24F0005,001,1970/09/28 00:00:00,374,
B24F0005,001,1970/10/14 00:00:00,376,
B24F0005,001,1970/10/26 00:00:00,378,
B24F0005,001,1970/11/13 00:00:00,360,
B24F0005,001,1970/11/27 00:00:00,355,
B24F0005,001,1970/12/14 00:00:00,349,
B24F0005,001,1970/12/28 00:00:00,344,
B24F0005,001,1971/01/13 00:00:00,346,
B24F0005,001,1971/01/28 00:00:00,352,
B24F0005,001,1971/02/15 00:00:00,343,
B24F0005,001,1971/03/15 00:00:00,338,
B24F0005,001,1971/03/29 00:00:00,340,
B24F0005,001,1971/04/14 00:00:00,344,
B24F0005,001,1971/04/27 00:00:00,349,
B24F0005,001,1971/05/14 00:00:00,359,
B24F0005,001,1971/05/27 00:00:00,363,
B24F0005,001,1971/06/14 00:00:00,366,
B24F0005,001,1971/06/28 00:00:00,372,
B24F0005,001,1971/07/14 00:00:00,372,
B24F0005,001,1971/07/28 00:00:00,374,
B24F0005,001,1971/08/13 00:00:00,380,
B24F0005,001,1971/08/23 00:00:00,380,
B24F0005,001,1971/09/13 00:00:00,385,
B24F0005,001,1971/09/28 00:00:00,388,
B24F0005,001,1971/10/18 00:00:00,398,
B24F0005,001,1971/10/28 00:00:00,389,
