LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B25A1362	100165	491290	Rijksdriehoeksmeting	25A		5.23	Landmeting	25AP1362	2219	38			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	12CL2PA (ug/l)	2,4-D (ug/l)	2,6-dichloorbenzamide BAM (ug/l)	24DP (ug/l)	AMPA (ug/l)	Al (mg/l)	Al (mg/m3)	Al (ug/l)	As (mg/m3)	As (ug/l)	Atrazine (ug/l)	Ba (mg/m3)	Ba (ug/l)	Bentazon (ug/l)	Benzeen (ug/l)	Broompropylaat (ug/l)	Buffercapaciteit pH 4.3 (mmol/l)	Butocarboxim-SO (ug/l)	Ca (g/m3)	Ca (mg/l)	Ca (ug/l)	Carbendazim (ug/l)	Carbetamide (ug/l)	Cd (mg/m3)	Cd (ug/l)	Chloridazon (ug/l)	Cl- (g/m3)	Cl- (mg/l)	Cr (mg/m3)	Cr (ug/l)	Cu (mg/m3)	Cu (ug/l)	DMST (ug/l)	DOC (g/m3)	DOC (mg/l)	Dicamba (ug/l)	Difenoconazool (ug/l)	Dikegulac-Natrium (ug/l)	EC (mS/m)	EC (uS/cm)	EC-5 (mS/m)	EC-lab (uS/cm)	ECVELD (uS/cm)	Eg-lab (uS/cm)	Eg-veld (uS/cm)	Ehm_gecorrigeerd (mV)	Ethyl-tert-butylether (ETBE) (ug/l)	Ethylbenzeen (ug/l)	Fe (g/m3)	Fe (mg/l)	Fe (ug/l)	Fluazifop-p-butyl (ug/l)	Fluroxypyr (ug/l)	H-3 (TU)	H3 (TU)	HCO3 (g/m3)	HCO3 (mg/l)	HCO3-Veld (g/m3)	HCO3-lab (mg/l)	HCO3-veld (mg/l)	Hg (ug/l)	K (g/m3)	K (mg/l)	K (ug/l)	MCPA (ug/l)	MCPP (ug/l)	Methyl tert-butylether (ug/l)	Metolachloor (R/S) (ug/l)	Mg (g/m3)	Mg (mg/l)	Mg (ug/l)	Mn (g/m3)	Mn (mg/l)	Mn (ug/l)	NH4 (gN/m3)	NH4 (mg/l)	NH4 (mgN/l)	NO3 (gN/m3)	NO3 (mg/l)	NO3 (mgN/l)	Na (g/m3)	Na (mg/l)	Na (ug/l)	Ni (mg/m3)	Ni (ug/l)	O2 (mg/l)	P-totaal (mg/l)	P-totaal (mgP/l)	PO4-T (mg/l)	Pb (mg/m3)	Pb (ug/l)	Pirimifos-methyl (ug/l)	SO4 (g/m3)	SO4 (mg/l)	Simazine (ug/l)	Sr (mg/m3)	Sr (ug/l)	T-5 (C)	T-PO4 (gP/m3)	T-PO4 (mg/l)	TEMP-V (C)	TOLUEEN (ug/l)	TOTH (mmol/l)	Temp (C)	Temp-lab (C)	Temp-veld (C)	Terbutylazine (ug/l)	XYLENEN (ug/l)	Zn (mg/m3)	Zn (ug/l)	aldicarb (ug/l)	aldicarbsulfon (ug/l)	aldicarbsulfoxide (ug/l)	bifenox (ug/l)	bromacil (ug/l)	carbofuran (ug/l)	chloortoluron (ug/l)	clopyralid (ug/l)	desethylatrazine (ug/l)	dichlobenil (ug/l)	diethyltoluamide (DEET) (ug/l)	dimethoaat (ug/l)	diuron (ug/l)	ethofumesaat (ug/l)	ethoprofos (ug/l)	fenamifos (ug/l)	flutolanil (ug/l)	glyfosaat (ug/l)	isoproturon (ug/l)	linuron (ug/l)	metalaxyl (ug/l)	metazachloor (ug/l)	methiocarb (ug/l)	metoxuron (ug/l)	metribuzin (ug/l)	metsulfuron-methyl (ug/l)	monuron (ug/l)	nicosulfuron (ug/l)	pH (-)	pH-5 (-)	pH-lab (-)	pH-veld (-)	pencycuron (ug/l)	procymidon (ug/l)	propachloor (ug/l)	propoxur (ug/l)	propyzamide (ug/l)	prosulfocarb (ug/l)	rimsulfuron (ug/l)	tebuconazool (ug/l)	triadimenol (ug/l)	triclopyr (ug/l)	triflusulfuron-methyl (ug/l)	
B25A1362	26-10-1994	C1994-10-8223		nee	13000.0	15000.0	26-10-1994							21.584		<0.150			6.867							90.441					<0.045			33.919		<0.780		3.813			2.834							48.9								3.653							252.013						1.877							4.400			0.377			0.799			0.308			16.277			<0.880						<0.207			18.895			360.118		12.00	0.310										<6.539																															7.56														
B25A1362	26-10-1994	C1994-10-8224		nee	8000.0	10000.0	26-10-1994							26.980		6.518			24.582							132.036					<0.045			41.126		<0.780		2.542			1.549							68.6								6.920							345.373						2.424							6.442			0.171			0.140			0.475			24.117			<0.880						<0.207			55.744			474.900		10.50	0.372										<6.539																															7.37														
B25A1362	26-10-1994	L1994-10-7760		nee	23000.0	25000.0									16		<.15			9							124					<.045			35		<.78		3.2													688					3.39							339						2.3							6.4			.682			1.14			1.6			17.9			<.88				1.23		<.2			41			541							10.2						<6.5																																7.48												
B25A1362	26-10-1994	L1994-10-7759		nee	13000.0	15000.0									22		<.15			7							90.4					<.045			34		<.78		3.8													553					3.65							252						1.9							4.4			.377			1.03			1.36			16.3			<.88				.95		<.2			19			360							12						<6.5																																7.56												
B25A1362	26-10-1994	L1994-10-7758		nee	8000.0	10000.0									27		6.52			25							132					<.045			41		<.78		2.5													775					6.92							345						2.4							6.4			.171			.18			2.1			24.1			<.88				1.14		<.2			56			475							10.5						<6.5																																7.37												
B25A1362	26-10-1994	C1994-10-1264		nee	23000.0	25000.0	26-10-1994						.016				<.15			9.48							123.74					<.04			34.61		<.78		3.18																		3.38							338.66						2.27							6.39			.68			1.135			1.595			17.89			<.88						<.21			40.83						1.228	20		3.35							<6.54																																												
B25A1362	26-10-1994	C1994-10-1262		nee	8000.0	10000.0	26-10-1994						.027				6.52			24.58							132.04					<.04			41.13		<.78		2.54																		6.92							345.37						2.42							6.44			.17			.181			2.082			24.12			<.88						<.21			55.74						1.136	20		3.55							<6.54																																												
B25A1362	26-10-1994	C1994-10-1263		nee	13000.0	15000.0	26-10-1994						.022				<.15			6.87							90.44					<.04			33.92		<.78		3.81																		3.65							252.01						1.88							4.4			.38			1.032			1.373			16.28			<.88						<.21			18.89						.952	20		2.44							<6.54																																												
B25A1362	09-02-1994	L1994-02-0115		nee	13000.0	15000.0																																														610	66									37.6																															.4																		10.8																																						7.47												
B25A1362	09-02-1994	L1994-02-0116		nee	23000.0	25000.0																																														707	72																																								.3																		10.8																																						7.43												
B25A1362	09-02-1994	L1994-02-0114		nee	8000.0	10000.0																																														800	86																																								.4																		11																																						7.32												
B25A1362	13-12-1993	T1989-00-3314		nee	8000.0	10000.0	13-12-1993																				140								37												752										7.38				28.4			381						2.5							7			.17			.1			.48			23												55																																													7.46															
B25A1362	13-12-1993	T1989-00-3314		nee	8000.0	10000.0	09-02-1994										5.6																																																																																																																																																
B25A1362	13-12-1993	C1993-12-1075		nee	23000.0	25000.0	13-12-1993						<.013				<.15			10.16							124.01					<.04			35.25		<.78		3.18																		3.5							342.93						2.31							6.39			.67			1.135			.487			17.79			<.88						<.21			41.12						.952	20		3.35							6.54																																												
B25A1362	13-12-1993	C1993-12-1074		nee	8000.0	10000.0	13-12-1993						<.013				6.44			27.05							140.02					<.04			37.28		<.78		1.27																		7.38							380.76						2.46							6.73			.17			.142			.487			22.9			<.88						<.21			54.76						.86	20		3.77							6.54																																												
B25A1362	13-12-1993	T1989-00-3316		nee	23000.0	25000.0	13-12-1993																				124								35												565										3.5				28.5			343						2.3							6			.67			1.1			.47			18												41																																													7.72															
B25A1362	13-12-1993	T1989-00-3316		nee	23000.0	25000.0	09-02-1994										<.1																																																																																																																																																
B25A1362	13-12-1993	C1993-12-8050		nee	8000.0	10000.0	13-12-1993							<13.490		6.443			27.054							140.023					<0.045			37.283		<0.780		1.271			1.357							72								7.383							380.765						2.463							6.734			0.167			0.112			0.109			22.898			<0.880						<0.207			54.764			519.587		10.50	0.279										6.539																															7.41														
B25A1362	13-12-1993	C1993-12-8054		nee	13000.0	15000.0	13-12-1993																																																																																																																																																										
