LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B25B0432	113175	489513	Rijksdriehoeksmeting	25B		1.0	Landmeting	25BA3432	297	42			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	Al (mg/m3)	Al (ug/l)	As (mg/m3)	As (ug/l)	B (mg/m3)	B (ug/l)	Ba (mg/m3)	Ba (ug/l)	Ca (mg/l)	Ca++ (g/m3)	Cd (mg/m3)	Cd (ug/l)	Cl- (g/m3)	Cl- (mg/l)	Co (mg/m3)	Cr (mg/m3)	Cr (ug/l)	Cu (mg/m3)	Cu (ug/l)	DOC_C (g/m3)	EC (uS/cm)	EC(5)_veld (mS/m)	EC25C (mS/m)	EOCL (ugCl/l)	EOX (umol/m3)	Eg-lab (uS/cm)	Eg-veld (uS/cm)	Ehm_gecorrigeerd (mV)	Fe (g/m3)	Fe (mg/l)	H+ (-)	H+(5)_veld (-)	H-3 (TU)	H3 (TU)	HCO3 (mg/l)	HCO3- (g/m3)	HCO3-_veld (g/m3)	K (mg/l)	K+ (g/m3)	KMnO4_O (g/m3)	Mg (mg/l)	Mg++ (g/m3)	Mn (g/m3)	Mn (mg/l)	NH4 (mg/l)	NH4+_N (g/m3)	NO3 (mg/l)	NO3-_N (g/m3)	Na (mg/l)	Na+ (g/m3)	Ni (mg/m3)	Ni (ug/l)	P-tot_P (g/m3)	PO4 (mg/l)	PO4---_P (g/m3)	PO4-O (mg/l)	PO4-T (mg/l)	Pb (mg/m3)	Pb (ug/l)	SIO2 (mg/l)	SO4 (mg/l)	SO4-- (g/m3)	SiO2 (mg/l)	SiO2_Si (g/m3)	Sr (mg/m3)	Sr (ug/l)	T(5)_veld (C)	TOC (mg/l)	TOC_C (g/m3)	Temp (C)	Tg (TU)	V (mg/m3)	VOCL (ugCl/l)	VOX (umol/m3)	Zn (mg/m3)	Zn (ug/l)	pH (-)	pH-lab (-)	pH-veld (-)	
B25B0432	05-03-1990	C1990-03-1033		nee	10000.0	12000.0	05-03-1990	<18.83		2.33				41.48			133.52	<0.11		855.69			4.06		<0.63		37.31			404.52						1.87		7.12					1002.84			24.11			78.29	1.39			14.17		<0.28		627.5	0.76		32.14					<2.07				0.56			821.35										<6.54					
B25B0432	05-03-1990	C1990-03-1034		nee	27000.0	29000.0	05-03-1990	<18.83		0.17				1037.08			80.45	0.19		512.69			1.09		1.33		40.15			282.49						1.67		7.34					803.37			43.51			68.23	0.56			16.6		<0.28		384.07	<0.59		3.28					2.61				23.59			3322.38										81.65					
B25B0432	05-03-1990	L1990-03-7528		nee	10000.0	12000.0			<19		2.33				41	134			<.11		856			4.06		<.6							3580				1.87					1003			24.1			78.3			1.39	18.3		<1.24		628			.76					98.4		<2.1		1					821										<6.5		7.12		
B25B0432	05-03-1990	L1990-03-7529		nee	27000.0	29000.0			<19		.17				1037	80.4			.19		513			1.09		1.3							2500				1.67					803			43.5			68.2			.56	21.4		<1.24		384			<.59					10		2.6		24					3322										81.7		7.34		
B25B0432	30-03-1989	C1989-03-1211		nee	27000.0	29000.0	30-03-1989										80.6			517										287.01						0.29		7.51					830			42.09			69.11				15.42		<0.28		392.8			2.42		2.39							22.1																		
B25B0432	30-03-1989	L1989-03-7044		nee	27000.0	29000.0										80.6					517												2540				.29					830			42.1			69.1				19.9		<1.24		393							7.31	7.41				22																	7.51		
B25B0432	30-03-1989	C1989-03-1210		nee	10000.0	12000.0	30-03-1989										150			991										449.72						1.35		7.22					1028			24.91			90.56				14.56		<0.28		669.5			28.7		27.49							1.1																		
B25B0432	30-03-1989	L1989-03-7043		nee	10000.0	12000.0										150					991												3980				1.35					1028			24.9			90.6				18.8		<1.24		670							84.1	87.8				1																	7.22		
B25B0432	18-03-1988	L1988-03-0032		nee	27000.0	29000.0										86.3					558												2600									803			89.8			73.7				18.5		<1.24		401								6.15				16																	7.38		
B25B0432	18-03-1988	C1988-03-1084		nee	10000.0	12000.0	18-03-1988										180			1203										514.12								7.24					1002			27.14			104.2				15.27		<0.28		764.8			22.7									1.2																		
B25B0432	18-03-1988	L1988-03-0031		nee	10000.0	12000.0										180					1203												4550									1002			27.1			104				19.7		<1.24		765								69.5				1																	7.24		
B25B0432	18-03-1988	C1988-03-1085		nee	27000.0	29000.0	18-03-1988										86.3			558										293.79								7.38					803			89.8			73.67				14.32		<0.28		401			2.01									15.8																		
B25B0432	09-04-1987	C1987-04-1069		nee	27000.0	29000.0	09-04-1987										84.4			567							40.8			294.92								7.47					830			44.6			71.1				16.9		<0.3		404			3.04									16.1																		
B25B0432	09-04-1987	L1987-04-0026		nee	27000.0	29000.0			<20							84.4					567												2610									830			44.6			71.1				21.8		<1.33		404								9.3				16																	7.47		
B25B0432	09-04-1987	C1987-04-1068		nee	10000.0	12000.0	09-04-1987										192			1330							33.4			512.99								7.43					936			24.6			96.7				13.6		<0.3		742			11.6									6.75																		
B25B0432	09-04-1987	L1987-04-0025		nee	10000.0	12000.0			52							192					1330												4540									936			24.6			96.7				17.5		<1.33		742								35.5				7																	7.43		
B25B0432	16-04-1986	C1986-04-1128		nee	10000.0	12000.0	16-04-1986										210			1510							24.3			587.57								7.38					897			33.2			122				20.7		<0.3		830			4.74									1.93																		
B25B0432	16-04-1986	L1986-04-0032		nee	27000.0	29000.0										87.8					625												2700									906			44.4			74				21.9		<1.33		425								8.54				4																	7.28		
B25B0432	16-04-1986	L1986-04-0031		nee	10000.0	12000.0										210					1510												5200									897			33.2			122				26.7		<1.33		830								14.5				2																	7.38		
B25B0432	16-04-1986	C1986-04-1129		nee	27000.0	29000.0	16-04-1986										87.8			625							40.7			305.08								7.28					906			44.4			74				17		<0.3		425			2.79									4.49																		
B25B0432	17-04-1985	C1985-04-1065		nee	10000.0	12000.0	17-04-1985										242			1500							28			571.75								7.22					829			34.7			135				20.4		<0.3		730			3.13									16.5																		
B25B0432	17-04-1985	C1985-04-1066		nee	27000.0	29000.0	17-04-1985										86.6			586							30			299.44								7.63					800			44.3			72.5				16.7		<0.3		416			2.76									14.2																		
B25B0432	17-04-1985	L1985-04-0032		nee	27000.0	29000.0										86.6					586												2650									800			44.3			72.5				21.5		<1.33		416								8.45				14																	7.63		
B25B0432	17-04-1985	L1985-04-0031		nee	10000.0	12000.0										242					1500												5060									829			34.7			135				26.3		<1.33		730								9.58				17																	7.22		
B25B0432	13-02-1984	C1984-02-1059		nee	27000.0	29000.0	13-02-1984										89			580										288.14								7.32					804			2	29		74				16		<0.1		430			1.7		0.07							25		12.4					28		<5									
B25B0432	13-02-1984	L1984-02-0071		nee	10000.0	12000.0					2.5					230			.2		1410			.5		8.5							4500								41	862			22			152				25.8		<.44		250			7				3.98	7.04		2	64.2	23							18								20		7.21		
B25B0432	13-02-1984	L1984-02-0072		nee	27000.0	29000.0					1					89			<.1		580			1.5		1.5							2550								<5	804			2			74				20.6		<.44		430			4				.21	5.2		<5	26.5	25							28								<10		7.32		
B25B0432	13-02-1984	C1984-02-1058		nee	10000.0	12000.0	13-02-1984										230			1410										508.47								7.21					862			22	40		152				20		<0.1		250			2.3		1.3							23		30					18		41									
B25B0432	19-11-1982	C1982-11-1166		nee	10000.0	12000.0	19-11-1982										260			1320										545.76		30						7.3					720			43	22		150				24		<0.1		490			2.5									64							28					<6						
B25B0432	19-11-1982	L1982-11-0019		nee	10000.0	12000.0					<2					260					1320										30		4830									720			43			150				31		<.44		490			7					7.65				64							28					<6			10		7.3		
B25B0432	16-07-1981	L1981-07-0033		nee	10000.0	12000.0					1.5					230					980										5		3600									692			31			168				24.5		.89		370			7					8.57			72.8	94							37					<3			10		7.15		
B25B0432	16-07-1981	C1981-07-1123		nee	10000.0	12000.0	16-07-1981										230			980										406.78		5						7.15					692			31	30		168				19		0.2		370			2.8									94		34					37					<3						
B25B0432	16-07-1981	C1981-07-1124		nee	17400.0	19400.0	16-07-1981										117			480										293.79		15						7.01					1130			51	20		124				21		<0.1		330			3.5									15		12.2					27					<3						
B25B0432	16-07-1981	T1989-00-3320		nee	17400.0	19400.0	16-07-1981									117					480							2600												<1.5		1130			51			124				27.1		.44		330					3.5							15		26.1														7.01			
B25B0432	16-07-1981	T1989-00-3320		nee	17400.0	19400.0	10-02-1994				48.4																																																																												
B25B0432	16-07-1981	L1981-07-0034		nee	17400.0	19400.0					11					117					480										15		2600									1130			51			124				27.1		<.44		330			27					10.7			26.1	15							27					<3			130		7.01		
