LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B25E0885	126489	499025	Rijksdriehoeksmeting	25E		-4.11		25EP0885	2214	35			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	Al (mg/l)	Al (mg/m3)	Al (ug/l)	As (mg/m3)	As (ug/l)	Ba (mg/m3)	Ba (ug/l)	Benzeen (ug/l)	Ca (g/m3)	Ca (mg/l)	Cd (mg/m3)	Cd (ug/l)	Cl- (g/m3)	Cl- (mg/l)	Cr (mg/m3)	Cr (ug/l)	Cu (mg/m3)	Cu (ug/l)	DOC (g/m3)	DOC (mg/l)	EC (mS/m)	EC-5 (mS/m)	Eg-lab (uS/cm)	Eg-veld (uS/cm)	Ehm_gecorrigeerd (mV)	Ethylbenzeen (ug/l)	Fe (g/m3)	Fe (mg/l)	H3 (TU)	HCO3 (g/m3)	HCO3 (mg/l)	HCO3-Veld (g/m3)	K (g/m3)	K (mg/l)	Methyl tert-butylether (ug/l)	Mg (g/m3)	Mg (mg/l)	Mn (g/m3)	Mn (mg/l)	NH4 (gN/m3)	NH4 (mg/l)	NO3 (gN/m3)	NO3 (mg/l)	Na (g/m3)	Na (mg/l)	Ni (mg/m3)	Ni (ug/l)	P-totaal (mg/l)	PO4-T (mg/l)	Pb (mg/m3)	Pb (ug/l)	SO4 (g/m3)	SO4 (mg/l)	Sr (mg/m3)	Sr (ug/l)	T-5 (C)	T-PO4 (gP/m3)	T-PO4 (mg/l)	TEMP-V (C)	TOLUEEN (ug/l)	TOTH (mmol/l)	Temp (C)	XYLENEN (ug/l)	Zn (mg/m3)	Zn (ug/l)	pH (-)	pH-5 (-)	pH-lab (-)	pH-veld (-)	stijgh_mv (m-mv)	
B25E0885	11-10-1994	L1994-10-7778		nee	13000.0	15000.0				27		.52		145			77		<.045		151		<.78		<.6						1464				6.78			665			24.4			39.8		.446		9.7		.48		166		<.88		5.97		<.2				577							10.8			<6.5				7.19		
B25E0885	11-10-1994	L1994-10-7777		nee	8000.0	10000.0				<13		2.1		201			89.9		<.045		150		<.78		.6						1463				7.38			678			23.7			44		.62		11.4		.3		147		1.12		6.63		<.2				661							10.5			<6.5				7.11		
B25E0885	11-10-1994	C1994-10-8087		nee	8000.0	10000.0	11-10-1994		<13.490		2.098		201.051			89.919		<0.045		149.751		<0.780		0.635		11.578			129.5					7.378			677.932			23.695			44.050		0.620		8.868		0.067		146.768		1.115				<0.207		<0.096		660.655		10.50	2.168							<6.539			7.11			-0.72	
B25E0885	11-10-1994	C1994-10-1079		nee	13000.0	15000.0	11-10-1994	.027				.52		144.61			76.96		<.04		150.57		<.78		<.64										6.78			664.51			24.44			39.77		.45		9.701		.487		165.8		<.88				<.21		<.1					5.987	20		3.56				<6.54						
B25E0885	15-11-1993	L1993-11-0115		nee	8000.0	10000.0				24		2.32		220			88.3		<.045		147		.83		<.6						1380				8.1			676			23.7			43.3		.693		11.4		.16		146		3.52		6.92		.3				668							10.5			<6.5				7.17		
B25E0885	15-11-1993	C1993-11-1239		nee	8000.0	10000.0	15-11-1993	.024				2.32		220.14			88.32		<.04		147.12		.83		<.64										8.1			676.1			23.7			43.32		.69		11.352		.177		145.83		3.52				.33		.15					6.938	20		3.98				<6.54						
B25E0885	15-11-1993	C1993-11-8086		nee	23000.0	25000.0	15-11-1993		37.772		0.674		278.505			107.855		0.045		721.088		<0.780		2.542		13.631			299					6.953			779.225			29.833			73.246		0.430		8.938		0.094		487.319		<0.880				0.850		0.211		937.534		10.70	1.425							<6.539			7.24			0.17	
B25E0885	15-11-1993	L1993-11-0116		nee	23000.0	25000.0				38		.67		279			108		.045		721		<.78		2.5						3380				6.95			779			29.8			73.2		.43		11.5		.42		487		<.88		4.36		.9				938							10.7			<6.5				7.24		
B25E0885	15-11-1993	C1993-11-1240		nee	23000.0	25000.0	15-11-1993	.038				.67		278.5			107.86		.04		721.09		<.78		2.54										6.95			779.23			29.83			73.25		.43		11.533		.399		487.32		<.88				.85		.21					4.39	20		5.7				<6.54						
B25E0885	15-11-1993	C1993-11-8083		nee	8000.0	10000.0	15-11-1993		24.282		2.323		220.140			88.324		<0.045		147.118		0.832		<0.635		13.259			122					8.098			676.102			23.695			43.320		0.693		8.798		0.035		145.826		3.521				0.332		0.154		667.664		10.50	2.261							<6.539			7.17			-0.64	
B25E0885	15-11-1993	C1993-11-8085		nee	13000.0	15000.0	15-11-1993																																																																						0.21	
B25E0885	11-05-1992	L1992-05-0244		nee	23000.0	25000.0				39		.78		267			109		<.02		682		<.52		<.6					2920					6.52			769			28.9			69.3		.41		10.6		.13		463		<.59		4.77		.4		4		923										<6.5			7.34			
B25E0885	11-05-1992	C1992-05-1075		nee	8000.0	10000.0	11-05-1992	.049				1.22		220.99			84.74		<.02		141.84		.73		<.64			123.3							3.35			659.02			21.44			40.89		.61		11.004		.177		126.69		1.35				.29		.38					5.864	20		3.79				12.06	7.2					
B25E0885	11-05-1992	C1992-05-8112		nee	8000.0	10000.0	11-05-1992		48.98		1.22		220.99			84.74		<0.02		141.84		0.73		<0.64		11.77		123.30						3.35			659.02			21.44			40.89		0.61		8.53		0.04		126.69		1.35				0.29		0.38		625.33			1.91							12.06		7.20					
B25E0885	11-05-1992	C1992-05-8111		nee	23000.0	25000.0	11-05-1992		38.72		0.78		267.11			109.25		<0.02		681.88		<0.52		<0.64		12.09		292.00						6.52			768.85			28.93			69.34		0.41		8.23		0.03		463.32		<0.59				0.44		3.55		922.59			1.56							<6.54		7.34					
B25E0885	11-05-1992	L1992-05-0243		nee	8000.0	10000.0				49		1.22		221			84.7		<.02		142		.73		<.6					1233					3.35			659			21.4			40.9		.61		11		.18		127		1.35		5.84		.3				625										12.1			7.2			
B25E0885	11-05-1992	C1992-05-1076		nee	23000.0	25000.0	11-05-1992	.039				.78		267.11			109.25		<.02		681.88		<.52		<.64			292							6.52			768.85			28.93			69.34		.41		10.617		.133		463.32		<.59				.44		3.55					4.789	20		5.58				<6.54	7.34					
B25E0885	24-03-1992	L1992-03-7581		nee	8000.0	10000.0																									1250					1																																	10.4							7.12		
B25E0885	24-03-1992	L1992-03-7582		nee	23000.0	25000.0																									2640					.1																																	10.8							7.33		
B25E0885	12-11-1991	C1991-11-8082		nee	8000.0	10000.0	12-11-1991		24.19		1.64		449.68			104.34		0.02		138.49		1.25		1.08		10.88		125.50						6.85			674.66			24.05			48.70		1.12		8.98		0.03		113.43		1.94				1.12		0.48		769.22			1.55							22.04		7.18					
B25E0885	12-11-1991	C1991-11-1081		nee	8000.0	10000.0	12-11-1991	.024				1.64		449.68			104.34		.02		138.49		1.25		1.08			125.5							6.85			674.66			24.05			48.7		1.12		11.584		.133		113.43		1.94				1.12		.48					4.759	20		4.6				22.04	7.18					
B25E0885	12-11-1991	C1991-11-8080		nee	23000.0	25000.0	12-11-1991		<13.49		0.90		244.89			100.11		<0.02		591.93		0.73		<0.64		11.99		258.00						6.29			751.52			27.87			63.50		0.38		8.01		0.04		419.05		<0.59				0.37		4.13		853.23			1.60							<6.54		7.31					
B25E0885	12-11-1991	C1991-11-8081		nee	13000.0	15000.0	12-11-1991		<13.49		0.42		135.38			74.91		<0.02		151.58		1.25		<0.64		10.45		129.50						6.23			673.44			23.65			39.68		0.50		8.71		<0.03		170.08		<0.59				0.04		<0.19		569.28			2.32							<6.54		7.21					
B25E0885	12-11-1991	C1991-11-1082		nee	13000.0	15000.0	12-11-1991	<.013				.42		135.38			74.91		<.02		151.58		1.25		<.64			129.5							6.23			673.44			23.65			39.68		.5		11.236		<.133		170.08		<.59				.04		<.19					7.122	20		3.5				<6.54	7.21					
B25E0885	12-11-1991	L1991-11-7624		nee	23000.0	25000.0				<13		.9		245			100		<.02		592		.73		<.6					2580					6.29			752			27.9			63.5		.38		10.3		.18		419		<.59		4.9		.4		4		853										<6.5			7.31			
B25E0885	12-11-1991	C1991-11-1083		nee	23000.0	25000.0	12-11-1991	<.013				.9		244.89			100.11		<.02		591.93		.73		<.64			258							6.29			751.52			27.87			63.5		.38		10.333		.177		419.05		<.59				.37		4.13					4.912	20		5.11				<6.54	7.31					
B25E0885	12-11-1991	L1991-11-7623		nee	13000.0	15000.0				<13		.42		135			74.9		<.02		152		1.25		<.6					1295					6.23			673			23.6			39.7		.5		11.2		<.13		170		<.59		7.1						569										<6.5			7.21			
B25E0885	12-11-1991	L1991-11-7622		nee	8000.0	10000.0				24		1.64		450			104		.02		138		1.25		1.1					1255					6.85			675			24			48.7		1.12		11.6		.13		113		1.94		4.74		1.1				769										22			7.18			
